#TYPE System.Management.Automation.PSCustomObject
"Name","Quality","Rarity","Slot","Hero","Availibility","Descriptor","Link"
"Cursed Zealot Tail","Standard"," Mythical"," Misc"," Nyx Assassin"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_12749226645"
"Cursed Zealot Tail","Standard"," Mythical"," Misc"," Nyx Assassin"," Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706361103"
"Hakama of the Unyielding Mask","Standard"," Uncommon"," Legs"," Juggernaut"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706361106"
"Hakama of the Unyielding Mask","Standard"," Uncommon"," Legs"," Juggernaut"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706361104"
"Relentless","Standard"," Uncommon"," Weapon"," Juggernaut"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706361108"
"Relentless","Standard"," Uncommon"," Weapon"," Juggernaut"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706372359"
"Helm of Echoes","Standard"," Rare"," Head"," Vengeful Spirit"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706372357"
"Helm of Echoes","Standard"," Rare"," Head"," Vengeful Spirit"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706372358"
"Flowersong","Inscribed"," Uncommon"," Weapon"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374651"
"Flowersong","Inscribed"," Uncommon"," Weapon"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374648"
"Flowersong Breeze","Standard"," Common"," Back"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374647"
"Flowersong Breeze","Standard"," Common"," Back"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374650"
"Flowersong Thorns","Standard"," Rare"," Off-Hand"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706374649"
"Flowersong Thorns","Standard"," Rare"," Off-Hand"," Windranger"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706357479"
"cythe of Decay","Standard"," Rare"," Weapon"," Necrophos"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706357481"
"cythe of Decay","Standard"," Rare"," Weapon"," Necrophos"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6706357482"
"Blade of the Burning Scale","Standard"," Uncommon"," Weapon"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438171"
"Blade of the Burning Scale","Standard"," Uncommon"," Weapon"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438166"
"Cuirass of the Burning Scale","Standard"," Common"," Shoulder"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438170"
"Cuirass of the Burning Scale","Standard"," Common"," Shoulder"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438168"
"hadow of the Burning Scale","Standard"," Mythical"," Shapeshift"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438172"
"hadow of the Burning Scale","Standard"," Mythical"," Shapeshift"," Dragon Knight"," Not Tradable","","http://steamcommunity.com/profiles/76561198161389877/inventory/#570_2_6588438169"
